100, -7.218439e-002, 3.656609e-002
100.9828038568, -7.213763e-002, 3.706946e-002
101.9752667477, -7.208783e-002, 3.757371e-002
102.9774836023, -7.203499e-002, 3.807883e-002
103.9895502827, -7.197909e-002, 3.85848e-002
105.0115635935, -7.169734e-002, 3.874257e-002
106.0436212906, -7.141566e-002, 3.889906e-002
107.0858220905, -7.113406e-002, 3.905429e-002
108.13826568, -7.085254e-002, 3.920824e-002
109.2010527258, -7.093047e-002, 3.918455e-002
110.2742848836, -7.100844e-002, 3.916078e-002
111.3580648084, -7.108644e-002, 3.913694e-002
112.4524961642, -7.116449e-002, 3.911303e-002
113.5576836335, -7.146443e-002, 3.950437e-002
114.6737329279, -7.176509e-002, 3.989861e-002
115.8007507978, -7.206646e-002, 4.029579e-002
116.9388450428, -7.236853e-002, 4.06959e-002
118.088124522, -7.24985e-002, 4.119853e-002
119.2486991642, -7.262676e-002, 4.170391e-002
120.4206799787, -7.27533e-002, 4.221206e-002
121.6041790659, -7.287809e-002, 4.272299e-002
122.7993096277, -7.277907e-002, 4.290446e-002
124.0061859788, -7.267961e-002, 4.30857e-002
125.2249235572, -7.257969e-002, 4.326671e-002
126.4556389356, -7.247932e-002, 4.344749e-002
127.6984498321, -7.242786e-002, 4.367362e-002
128.9534751221, -7.237576e-002, 4.389981e-002
130.2208348491, -7.232303e-002, 4.412605e-002
131.5006502363, -7.226966e-002, 4.435235e-002
132.7930436985, -7.258069e-002, 4.443331e-002
134.0981388534, -7.289293e-002, 4.451423e-002
135.4160605339, -7.320639e-002, 4.45951e-002
136.7469347995, -7.352108e-002, 4.467591e-002
138.0908889488, -7.411657e-002, 4.506624e-002
139.4480515312, -7.471688e-002, 4.545996e-002
140.8185523598, -7.532205e-002, 4.585712e-002
142.2025225235, -7.59321e-002, 4.625773e-002
143.6000943992, -7.596153e-002, 4.663881e-002
145.0114016653, -7.598971e-002, 4.702095e-002
146.4365793136, -7.601662e-002, 4.740416e-002
147.8757636628, -7.604226e-002, 4.778842e-002
149.3290923713, -7.666928e-002, 4.854865e-002
150.7967044504, -7.730019e-002, 4.931897e-002
152.2787402776, -7.793503e-002, 5.009949e-002
153.7753416101, -7.857377e-002, 5.089033e-002
155.2866515982, -7.924794e-002, 5.140643e-002
156.8128147992, -7.992785e-002, 5.192767e-002
